Week,Market,Channel,Product,Impressions,Clicks,Spend_AED,Conversions,Sales_AED,Engagement_Rate,Brand_Awareness_Score,Purchase_Intent_Score,Influencer_Name,Follower_Count,Influencer_Engagement_Rate,TV_GRP,PR_Mentions,PR_Share_of_Voice,Website_Sessions,Bounce_Rate,Avg_Session_Duration_Sec,Page_Views_Per_Session,Competitor_SOV,Sentiment_Score
2,SEIL,Influencer,Galaxy Tab S10,N/A,N/A,1210,9,2378,3.07,39.2,28.8,Influencer_17,252062,3.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.5,0.88
2,SEIL,PR,Galaxy Tab S10,N/A,N/A,0,N/A,N/A,N/A,72.5,61.6,N/A,N/A,N/A,N/A,13,19.6,N/A,N/A,N/A,N/A,4.5,0.95
2,SEIL,Paid Social,Galaxy Buds3,132206,1217,1933,70,21146,1.46,59.4,48.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.3,0.92
2,SEIL,Paid Social,Galaxy Watch6,745349,7782,15951,447,100814,1.16,56.7,44.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.1,0.95
2,SEIL,Influencer,Galaxy Watch6,N/A,N/A,6290,29,11754,4.77,47.1,32.1,Influencer_17,788730,4.77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.2,0.82
2,SEIL,TV,Galaxy Watch6,N/A,N/A,37913,N/A,N/A,N/A,65.4,61.8,N/A,N/A,N/A,418,N/A,N/A,N/A,N/A,N/A,N/A,16.6,0.76
2,SEIL,Search,Galaxy Watch6,449827,8841,9339,1419,696316,1.97,57.8,48.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.3,0.9
2,SEIL,Website,Galaxy Watch6,N/A,N/A,N/A,1630,431716,N/A,52.0,51.9,N/A,N/A,N/A,N/A,N/A,N/A,90712,33.4,249,3.61,15.2,0.81
2,SEIL,PR,Galaxy Watch6,N/A,N/A,0,N/A,N/A,N/A,69.0,54.3,N/A,N/A,N/A,N/A,37,39.6,N/A,N/A,N/A,N/A,12.9,0.86
2,SEIL,B2B Roadshow,Galaxy Watch6,15620,N/A,4392,114,46538,7.38,58.6,52.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.9,0.86
2,SEPAK,Paid Social,Galaxy Z Fold8,739043,8804,14398,1019,382020,1.26,44.7,34.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.5,0.81
2,SEPAK,Influencer,Galaxy Z Fold8,N/A,N/A,4326,19,4471,3.41,34.2,41.0,Influencer_19,589737,3.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.2,0.87
2,SEPAK,TV,Galaxy Z Fold8,N/A,N/A,48756,N/A,N/A,N/A,53.9,41.0,N/A,N/A,N/A,683,N/A,N/A,N/A,N/A,N/A,N/A,17.0,0.83
2,SEPAK,Search,Galaxy Z Fold8,413268,5182,11952,485,150393,1.25,53.0,46.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.4,0.85
2,SEPAK,Website,Galaxy Z Fold8,N/A,N/A,N/A,1216,298028,N/A,41.8,42.9,N/A,N/A,N/A,N/A,N/A,N/A,73174,26.6,235,3.45,7.0,0.8
2,SEPAK,PR,Galaxy Z Fold8,N/A,N/A,0,N/A,N/A,N/A,57.0,62.0,N/A,N/A,N/A,N/A,32,36.3,N/A,N/A,N/A,N/A,11.4,0.82
2,SEPAK,B2B Roadshow,Galaxy Z Fold8,19368,N/A,6517,72,35292,7.83,62.7,50.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.4,0.88
2,SEPAK,Paid Social,Galaxy Z Flip8,507380,7227,29400,399,127355,1.24,45.5,48.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.1,0.73
2,SEPAK,Influencer,Galaxy Z Flip8,N/A,N/A,4368,18,3846,4.56,61.1,35.7,Influencer_19,727786,4.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.6,0.85
2,SEPAK,TV,Galaxy Z Flip8,N/A,N/A,58420,N/A,N/A,N/A,66.2,41.3,N/A,N/A,N/A,854,N/A,N/A,N/A,N/A,N/A,N/A,20.8,0.82
2,SEPAK,Search,Galaxy Z Flip8,693276,9625,23218,788,250029,1.39,67.4,37.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.4,0.86
2,SEPAK,Website,Galaxy Z Flip8,N/A,N/A,N/A,771,279591,N/A,53.0,41.8,N/A,N/A,N/A,N/A,N/A,N/A,66142,25.7,215,3.66,7.5,0.77
2,SEPAK,PR,Galaxy Z Flip8,N/A,N/A,0,N/A,N/A,N/A,55.9,53.5,N/A,N/A,N/A,N/A,22,20.4,N/A,N/A,N/A,N/A,5.5,0.84
2,SEPAK,Paid Social,Galaxy S24,520788,4724,7382,302,95255,1.26,46.1,45.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.6,0.91
2,SEPAK,Influencer,Galaxy S24,N/A,N/A,2378,28,12191,5.02,47.5,40.3,Influencer_23,736435,5.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.2,0.92
2,SEPAK,TV,Galaxy S24,N/A,N/A,25929,N/A,N/A,N/A,66.6,45.4,N/A,N/A,N/A,349,N/A,N/A,N/A,N/A,N/A,N/A,9.3,0.82
2,SEPAK,Search,Galaxy S24,245334,4632,15450,523,131179,1.89,59.6,54.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.7,0.89
2,SEPAK,Website,Galaxy S24,N/A,N/A,N/A,730,288263,N/A,53.5,38.4,N/A,N/A,N/A,N/A,N/A,N/A,41728,26.5,175,3.86,16.8,0.8
2,SEPAK,PR,Galaxy S24,N/A,N/A,0,N/A,N/A,N/A,57.4,43.4,N/A,N/A,N/A,N/A,15,22.0,N/A,N/A,N/A,N/A,7.0,0.93
2,SEPAK,B2B Roadshow,Galaxy S24,12147,N/A,6489,80,14156,3.47,70.2,50.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.0,0.93
2,SEPAK,Paid Social,Galaxy Tab S10,70727,728,3161,84,18234,1.31,49.2,37.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.4,0.8
2,SEPAK,Influencer,Galaxy Tab S10,N/A,N/A,1038,35,15398,5.42,52.1,45.9,Influencer_19,485037,5.42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.5,0.89
2,SEPAK,PR,Galaxy Tab S10,N/A,N/A,0,N/A,N/A,N/A,74.1,45.0,N/A,N/A,N/A,N/A,3,48.4,N/A,N/A,N/A,N/A,12.6,0.88
2,SEPAK,Paid Social,Galaxy Buds3,95794,1221,2152,108,37237,1.23,63.9,53.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.7,0.92
2,SEPAK,Paid Social,Galaxy Watch6,451963,6527,9420,724,188364,0.84,57.6,27.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.4,0.83
2,SEPAK,Influencer,Galaxy Watch6,N/A,N/A,2900,59,23656,5.03,42.7,37.7,Influencer_20,804660,5.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.4,0.77
2,SEPAK,TV,Galaxy Watch6,N/A,N/A,27774,N/A,N/A,N/A,57.6,54.9,N/A,N/A,N/A,387,N/A,N/A,N/A,N/A,N/A,N/A,13.4,0.89
2,SEPAK,Search,Galaxy Watch6,355639,7440,7072,603,319777,2.09,55.4,43.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.7,0.81
2,SEPAK,Website,Galaxy Watch6,N/A,N/A,N/A,769,217414,N/A,53.5,37.1,N/A,N/A,N/A,N/A,N/A,N/A,68664,30.6,279,2.83,9.3,0.83
2,SEPAK,PR,Galaxy Watch6,N/A,N/A,0,N/A,N/A,N/A,74.4,53.6,N/A,N/A,N/A,N/A,55,32.4,N/A,N/A,N/A,N/A,5.5,0.88
2,SEPAK,B2B Roadshow,Galaxy Watch6,6349,N/A,3840,54,25813,3.18,66.0,66.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.5,0.97
3,SGE,Paid Social,Galaxy Z Fold8,719542,7290,24715,619,194148,1.12,49.7,53.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.3,0.91
3,SGE,Influencer,Galaxy Z Fold8,N/A,N/A,6825,39,15488,5.19,55.4,26.4,Influencer_2,787360,5.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.7,0.79
3,SGE,TV,Galaxy Z Fold8,N/A,N/A,45169,N/A,N/A,N/A,71.7,63.6,N/A,N/A,N/A,500,N/A,N/A,N/A,N/A,N/A,N/A,11.7,0.82
3,SGE,Search,Galaxy Z Fold8,576236,7527,13263,972,482648,1.31,62.8,43.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.1,0.81
3,SGE,Website,Galaxy Z Fold8,N/A,N/A,N/A,982,292856,N/A,41.3,38.4,N/A,N/A,N/A,N/A,N/A,N/A,56774,34.1,198,3.58,15.8,0.9
3,SGE,PR,Galaxy Z Fold8,N/A,N/A,0,N/A,N/A,N/A,76.8,55.0,N/A,N/A,N/A,N/A,81,24.7,N/A,N/A,N/A,N/A,8.9,0.88
3,SGE,Retail,Galaxy Z Fold8,41995,N/A,2017,167,26190,4.21,58.7,56.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.4,0.92
3,SGE,Paid Social,Galaxy Z Flip8,1123775,10384,35601,559,197780,0.87,59.2,46.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.4,0.92
3,SGE,Influencer,Galaxy Z Flip8,N/A,N/A,10630,35,11177,5.71,44.2,31.8,Influencer_2,838576,5.71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.1,0.78
3,SGE,TV,Galaxy Z Flip8,N/A,N/A,79908,N/A,N/A,N/A,73.2,52.3,N/A,N/A,N/A,871,N/A,N/A,N/A,N/A,N/A,N/A,18.3,0.83
3,SGE,Search,Galaxy Z Flip8,534264,10214,19688,1022,446869,1.91,51.5,41.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.9,0.94
3,SGE,Website,Galaxy Z Flip8,N/A,N/A,N/A,1099,410562,N/A,52.7,42.6,N/A,N/A,N/A,N/A,N/A,N/A,84301,31.4,179,3.64,15.9,0.88
3,SGE,PR,Galaxy Z Flip8,N/A,N/A,0,N/A,N/A,N/A,75.7,63.8,N/A,N/A,N/A,N/A,101,29.6,N/A,N/A,N/A,N/A,8.3,0.8
3,SGE,Retail,Galaxy Z Flip8,29352,N/A,2217,264,36130,2.8,65.0,48.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.3,0.84
3,SGE,Paid Social,Galaxy S24,810815,6838,18690,385,109837,1.05,53.1,47.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.6,0.84
3,SGE,Influencer,Galaxy S24,N/A,N/A,5333,34,14799,4.76,57.9,31.6,Influencer_1,978476,4.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.7,0.94
3,SGE,TV,Galaxy S24,N/A,N/A,47780,N/A,N/A,N/A,74.9,63.9,N/A,N/A,N/A,527,N/A,N/A,N/A,N/A,N/A,N/A,12.0,0.83
3,SGE,Search,Galaxy S24,264611,5143,14364,730,353522,1.94,66.0,54.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.0,0.89
3,SGE,Website,Galaxy S24,N/A,N/A,N/A,1317,443373,N/A,43.0,45.1,N/A,N/A,N/A,N/A,N/A,N/A,84697,37.1,199,2.94,8.4,0.78
3,SGE,PR,Galaxy S24,N/A,N/A,0,N/A,N/A,N/A,55.5,50.6,N/A,N/A,N/A,N/A,72,18.6,N/A,N/A,N/A,N/A,6.0,0.83
3,SGE,Retail,Galaxy S24,28214,N/A,2023,124,73417,4.84,53.1,48.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.6,0.81
3,SGE,Paid Social,Galaxy Tab S10,1421451,17594,31435,1394,408677,1.05,63.0,38.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.1,0.75
3,SGE,Influencer,Galaxy Tab S10,N/A,N/A,10706,23,5234,3.06,40.5,29.4,Influencer_1,729678,3.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.4,0.82
3,SGE,TV,Galaxy Tab S10,N/A,N/A,63704,N/A,N/A,N/A,69.8,52.8,N/A,N/A,N/A,1273,N/A,N/A,N/A,N/A,N/A,N/A,20.2,0.88
3,SGE,Search,Galaxy Tab S10,920603,11128,30670,1386,722589,1.21,59.5,48.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.4,0.89
3,SGE,Website,Galaxy Tab S10,N/A,N/A,N/A,1563,623717,N/A,45.7,50.8,N/A,N/A,N/A,N/A,N/A,N/A,132342,27.3,215,3.31,14.7,0.82
3,SGE,PR,Galaxy Tab S10,N/A,N/A,0,N/A,N/A,N/A,55.6,66.1,N/A,N/A,N/A,N/A,120,34.4,N/A,N/A,N/A,N/A,5.3,0.88
3,SGE,Retail,Galaxy Tab S10,32039,N/A,2685,281,134964,2.03,51.3,58.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.2,0.93
3,SGE,Paid Social,Galaxy Buds3,124615,1725,3231,143,46573,1.48,62.8,48.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.8,0.89
3,SGE,Influencer,Galaxy Buds3,N/A,N/A,986,4,887,4.11,39.2,30.6,Influencer_1,224906,4.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.8,0.91
3,SGE,PR,Galaxy Buds3,N/A,N/A,0,N/A,N/A,N/A,65.8,53.7,N/A,N/A,N/A,N/A,8,33.2,N/A,N/A,N/A,N/A,6.4,0.86
3,SGE,Paid Social,Galaxy Watch6,484747,5692,12137,571,169245,1.29,41.7,56.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.8,0.9
3,SGE,Influencer,Galaxy Watch6,N/A,N/A,7993,33,10375,2.8,58.6,23.9,Influencer_2,836030,2.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.7,0.79
3,SGE,TV,Galaxy Watch6,N/A,N/A,47975,N/A,N/A,N/A,70.9,53.1,N/A,N/A,N/A,695,N/A,N/A,N/A,N/A,N/A,N/A,19.7,0.75
3,SGE,Search,Galaxy Watch6,565018,11791,19169,2072,524930,2.09,66.1,36.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.2,0.87
3,SGE,Website,Galaxy Watch6,N/A,N/A,N/A,1172,511864,N/A,61.2,49.3,N/A,N/A,N/A,N/A,N/A,N/A,87674,31.1,238,2.82,7.9,0.78
3,SGE,PR,Galaxy Watch6,N/A,N/A,0,N/A,N/A,N/A,59.4,48.1,N/A,N/A,N/A,N/A,84,40.0,N/A,N/A,N/A,N/A,10.8,0.94
3,SGE,Retail,Galaxy Watch6,39871,N/A,4640,172,28967,3.16,51.3,47.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.8,0.87
3,SESAR,Paid Social,Galaxy Z Fold8,505095,5303,14763,254,77439,1.43,49.0,42.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.9,0.78
3,SESAR,Influencer,Galaxy Z Fold8,N/A,N/A,4488,21,10239,4.48,39.0,32.4,Influencer_4,359797,4.48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.0,0.89
3,SESAR,TV,Galaxy Z Fold8,N/A,N/A,43935,N/A,N/A,N/A,72.0,42.9,N/A,N/A,N/A,405,N/A,N/A,N/A,N/A,N/A,N/A,17.0,0.9
3,SESAR,Search,Galaxy Z Fold8,406998,6696,15006,861,243361,1.65,60.3,35.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.3,0.91
3,SESAR,Website,Galaxy Z Fold8,N/A,N/A,N/A,604,254636,N/A,59.8,43.8,N/A,N/A,N/A,N/A,N/A,N/A,56809,26.5,169,3.84,14.6,0.85
3,SESAR,PR,Galaxy Z Fold8,N/A,N/A,0,N/A,N/A,N/A,55.4,50.1,N/A,N/A,N/A,N/A,70,27.4,N/A,N/A,N/A,N/A,11.6,0.89
3,SESAR,Retail,Galaxy Z Fold8,19305,N/A,3498,120,39951,5.57,61.8,62.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.1,0.88
3,SESAR,Paid Social,Galaxy Z Flip8,547476,5900,28454,240,50332,1.47,69.0,49.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.6,0.74
3,SESAR,Influencer,Galaxy Z Flip8,N/A,N/A,7634,20,9806,4.48,56.0,37.5,Influencer_21,387847,4.48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.7,0.79
3,SESAR,TV,Galaxy Z Flip8,N/A,N/A,61958,N/A,N/A,N/A,52.6,48.7,N/A,N/A,N/A,518,N/A,N/A,N/A,N/A,N/A,N/A,8.7,0.76
3,SESAR,Search,Galaxy Z Flip8,489398,7772,24896,1306,342134,1.59,60.4,35.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.5,0.88
3,SESAR,Website,Galaxy Z Flip8,N/A,N/A,N/A,1403,372958,N/A,48.1,42.7,N/A,N/A,N/A,N/A,N/A,N/A,85846,35.9,194,3.06,15.5,0.76
3,SESAR,PR,Galaxy Z Flip8,N/A,N/A,0,N/A,N/A,N/A,77.2,56.5,N/A,N/A,N/A,N/A,52,32.3,N/A,N/A,N/A,N/A,6.8,0.94
3,SESAR,Retail,Galaxy Z Flip8,47906,N/A,5246,182,24864,4.01,52.8,48.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.6,0.9
3,SESAR,Paid Social,Galaxy S24,458170,4147,12867,286,94187,0.88,46.4,52.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.1,0.82
3,SESAR,Influencer,Galaxy S24,N/A,N/A,3240,26,8405,3.24,41.2,26.8,Influencer_5,702290,3.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.0,0.78
3,SESAR,TV,Galaxy S24,N/A,N/A,47697,N/A,N/A,N/A,73.3,43.2,N/A,N/A,N/A,315,N/A,N/A,N/A,N/A,N/A,N/A,10.2,0.9
3,SESAR,Search,Galaxy S24,428151,9240,7957,1550,726008,2.16,64.7,57.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.7,0.88
3,SESAR,Website,Galaxy S24,N/A,N/A,N/A,1397,338970,N/A,59.1,32.5,N/A,N/A,N/A,N/A,N/A,N/A,83841,41.6,186,3.69,13.1,0.8
3,SESAR,PR,Galaxy S24,N/A,N/A,0,N/A,N/A,N/A,69.4,45.3,N/A,N/A,N/A,N/A,46,42.7,N/A,N/A,N/A,N/A,7.0,0.82
3,SESAR,Retail,Galaxy S24,12813,N/A,2828,144,67579,4.74,66.5,57.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.4,0.94
3,SESAR,Paid Social,Galaxy Tab S10,1018092,8422,36765,676,121260,1.14,43.4,46.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.4,0.92
3,SESAR,Influencer,Galaxy Tab S10,N/A,N/A,8057,30,6390,4.01,49.8,29.9,Influencer_4,880768,4.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.1,0.91
3,SESAR,TV,Galaxy Tab S10,N/A,N/A,68730,N/A,N/A,N/A,65.7,58.0,N/A,N/A,N/A,722,N/A,N/A,N/A,N/A,N/A,N/A,17.3,0.86
3,SESAR,Search,Galaxy Tab S10,439037,7136,22925,911,291295,1.63,65.7,40.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.7,0.85
3,SESAR,Website,Galaxy Tab S10,N/A,N/A,N/A,752,290205,N/A,48.0,33.1,N/A,N/A,N/A,N/A,N/A,N/A,93467,25.1,180,3.28,14.5,0.82
3,SESAR,PR,Galaxy Tab S10,N/A,N/A,0,N/A,N/A,N/A,70.8,49.9,N/A,N/A,N/A,N/A,40,25.6,N/A,N/A,N/A,N/A,11.3,0.87
3,SESAR,Retail,Galaxy Tab S10,49952,N/A,4506,162,95117,5.02,58.3,60.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.9,0.86
3,SESAR,Paid Social,Galaxy Buds3,118639,1350,3307,116,39851,1.08,43.6,54.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.9,0.76
3,SESAR,Influencer,Galaxy Buds3,N/A,N/A,1074,9,2713,2.85,50.4,43.9,Influencer_4,369654,2.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.2,0.78
3,SESAR,PR,Galaxy Buds3,N/A,N/A,0,N/A,N/A,N/A,56.8,47.2,N/A,N/A,N/A,N/A,15,21.2,N/A,N/A,N/A,N/A,11.9,0.87
3,SESAR,Paid Social,Galaxy Watch6,400197,3938,18112,182,29017,1.07,69.0,47.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.8,0.88
3,SESAR,Influencer,Galaxy Watch6,N/A,N/A,7288,10,3483,5.81,34.2,48.5,Influencer_4,260254,5.81,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.4,0.85
3,SESAR,TV,Galaxy Watch6,N/A,N/A,32071,N/A,N/A,N/A,70.6,52.3,N/A,N/A,N/A,312,N/A,N/A,N/A,N/A,N/A,N/A,16.6,0.84
3,SESAR,Search,Galaxy Watch6,490036,6057,13378,881,478113,1.24,46.4,40.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.4,0.89
3,SESAR,Website,Galaxy Watch6,N/A,N/A,N/A,1072,353155,N/A,52.3,46.2,N/A,N/A,N/A,N/A,N/A,N/A,77356,39.7,167,3.88,12.1,0.85
3,SESAR,PR,Galaxy Watch6,N/A,N/A,0,N/A,N/A,N/A,61.4,58.8,N/A,N/A,N/A,N/A,48,43.9,N/A,N/A,N/A,N/A,5.4,0.95
3,SESAR,Retail,Galaxy Watch6,12228,N/A,3069,78,58021,4.02,61.2,55.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.7,0.82
3,SETK,Paid Social,Galaxy Z Fold8,547990,8053,21108,845,248196,1.29,68.5,45.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.7,0.89
3,SETK,Influencer,Galaxy Z Fold8,N/A,N/A,5561,51,17574,4.11,41.6,34.5,Influencer_6,914703,4.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.0,0.79
3,SETK,TV,Galaxy Z Fold8,N/A,N/A,32110,N/A,N/A,N/A,58.9,63.4,N/A,N/A,N/A,575,N/A,N/A,N/A,N/A,N/A,N/A,14.4,0.72
3,SETK,Search,Galaxy Z Fold8,312124,4520,9295,541,256778,1.45,52.7,47.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.4,0.83
3,SETK,Website,Galaxy Z Fold8,N/A,N/A,N/A,949,253638,N/A,43.6,46.4,N/A,N/A,N/A,N/A,N/A,N/A,56035,43.9,198,3.25,15.2,0.79
3,SETK,PR,Galaxy Z Fold8,N/A,N/A,0,N/A,N/A,N/A,75.4,52.5,N/A,N/A,N/A,N/A,31,46.0,N/A,N/A,N/A,N/A,10.6,0.82
3,SETK,Retail,Galaxy Z Fold8,15063,N/A,4768,162,63108,4.46,65.3,55.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.3,0.87
3,SETK,Paid Social,Galaxy Z Flip8,784137,8004,29282,876,238886,1.49,67.0,37.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.2,0.84
3,SETK,Influencer,Galaxy Z Flip8,N/A,N/A,6572,57,11956,5.3,44.3,48.8,Influencer_7,751273,5.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.9,0.84
3,SETK,TV,Galaxy Z Flip8,N/A,N/A,35993,N/A,N/A,N/A,64.0,47.4,N/A,N/A,N/A,718,N/A,N/A,N/A,N/A,N/A,N/A,8.3,0.85
3,SETK,Search,Galaxy Z Flip8,473981,8441,19628,980,498381,1.78,48.9,39.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.2,0.93
3,SETK,Website,Galaxy Z Flip8,N/A,N/A,N/A,1051,341251,N/A,48.6,39.3,N/A,N/A,N/A,N/A,N/A,N/A,90221,29.2,245,3.05,12.2,0.93
3,SETK,PR,Galaxy Z Flip8,N/A,N/A,0,N/A,N/A,N/A,72.5,63.7,N/A,N/A,N/A,N/A,45,45.4,N/A,N/A,N/A,N/A,8.6,0.94
3,SETK,Retail,Galaxy Z Flip8,27405,N/A,2597,93,81694,5.22,53.5,55.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.0,0.93
3,SETK,Paid Social,Galaxy S24,549380,6448,15920,663,149180,1.19,56.5,40.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.8,0.72
3,SETK,Influencer,Galaxy S24,N/A,N/A,2698,36,10814,5.44,44.7,39.8,Influencer_6,699687,5.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.4,0.8
3,SETK,TV,Galaxy S24,N/A,N/A,22299,N/A,N/A,N/A,54.0,61.2,N/A,N/A,N/A,434,N/A,N/A,N/A,N/A,N/A,N/A,19.8,0.76
3,SETK,Search,Galaxy S24,428877,7933,19694,773,374203,1.85,53.1,50.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.2,0.9
3,SETK,Website,Galaxy S24,N/A,N/A,N/A,507,137716,N/A,54.6,51.2,N/A,N/A,N/A,N/A,N/A,N/A,42946,37.6,187,3.8,10.7,0.86
3,SETK,PR,Galaxy S24,N/A,N/A,0,N/A,N/A,N/A,56.3,47.6,N/A,N/A,N/A,N/A,49,40.5,N/A,N/A,N/A,N/A,5.7,0.85
3,SETK,Retail,Galaxy S24,25004,N/A,4909,91,54030,3.08,58.9,62.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.9,0.89
3,SETK,Paid Social,Galaxy Tab S10,874095,9525,21403,1031,186879,0.96,47.0,50.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.5,0.75
3,SETK,Influencer,Galaxy Tab S10,N/A,N/A,8165,9,1871,2.83,45.8,45.9,Influencer_6,308013,2.83,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.9,0.8
3,SETK,TV,Galaxy Tab S10,N/A,N/A,47709,N/A,N/A,N/A,67.4,61.6,N/A,N/A,N/A,524,N/A,N/A,N/A,N/A,N/A,N/A,11.9,0.77
3,SETK,Search,Galaxy Tab S10,533173,8760,16793,815,408767,1.64,44.9,49.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.5,0.83
