date,market,station,campaign,grps,spots,reach_pct_1plus,agency_reported_spend_usd
"Mar 30, 2026",Egypt,MBC Masr,Galaxy Flagship Launch,110.9,219,53.5,24748.96
"Mar 30, 2026",KSA,MBC 1,Ramadan Together,82.7,149,43.5,61073.59
"Mar 30, 2026",KSA,SSC Sports,Always-On Brand,12.3,26,8.1,8170.04
"Mar 30, 2026",KSA,Rotana Khalijia,Galaxy Flagship Launch,49.7,115,29.0,36915.56
"Mar 30, 2026",UAE,MBC 1,Galaxy Flagship Launch,30.9,65,19.2,26134.34
"Mar 30, 2026",UAE,Dubai TV,Galaxy Flagship Launch,32.9,77,20.3,27679.48
"Mar 30, 2026",UAE,MBC 4,Galaxy Flagship Launch,36.4,79,22.2,30379.56
"Apr 06, 2026",Egypt,ON E,Always-On Brand,30.3,62,18.9,6619.71
"Apr 06, 2026",Egypt,CBC,Always-On Brand,68.4,158,37.6,15546.41
"Apr 06, 2026",Egypt,MBC Masr,Galaxy Flagship Launch,48.3,108,28.3,10367.82
"Apr 06, 2026",KSA,MBC 1,Galaxy Flagship Launch,54.7,87,31.4,41657.1
"Apr 06, 2026",KSA,SSC Sports,Always-On Brand,33.7,67,20.7,23601.66
"Apr 06, 2026",KSA,Rotana Khalijia,Always-On Brand,52.0,111,30.1,37727.84
"Apr 06, 2026",UAE,MBC 1,Galaxy Flagship Launch,16.9,29,11.0,13394.76
"Apr 06, 2026",UAE,Dubai TV,Always-On Brand,60.5,128,34.1,47736.99
"Apr 06, 2026",UAE,MBC 4,Galaxy Flagship Launch,21.0,48,13.5,18217.88
"Apr 13, 2026",Egypt,ON E,Always-On Brand,66.6,125,36.8,14860.6
"Apr 13, 2026",Egypt,CBC,Galaxy Flagship Launch,68.5,126,37.7,14784.61
"Apr 13, 2026",Egypt,MBC Masr,Always-On Brand,29.7,62,18.5,7072.86
"Apr 13, 2026",KSA,MBC 1,Galaxy Flagship Launch,57.5,136,32.8,38321.92
"Apr 13, 2026",KSA,SSC Sports,Always-On Brand,34.5,58,21.2,25378.98
"Apr 13, 2026",KSA,Rotana Khalijia,Galaxy Flagship Launch,55.5,130,31.8,44553.47
"Apr 13, 2026",UAE,MBC 1,Always-On Brand,38.1,77,23.1,30869.18
"Apr 13, 2026",UAE,Dubai TV,Always-On Brand,6.6,10,4.5,5108.03
"Apr 13, 2026",UAE,MBC 4,Galaxy Flagship Launch,58.8,110,33.3,41116.69
"Apr 20, 2026",Egypt,ON E,Always-On Brand,33.0,66,20.4,7302.99
"Apr 20, 2026",Egypt,CBC,Always-On Brand,52.9,100,30.6,10687.02
"Apr 20, 2026",Egypt,MBC Masr,Always-On Brand,51.9,110,30.1,11845.68
"Apr 20, 2026",KSA,MBC 1,Always-On Brand,66.5,151,36.8,44882.64
"Apr 20, 2026",KSA,SSC Sports,Always-On Brand,59.3,134,33.5,39650.88
"Apr 20, 2026",KSA,Rotana Khalijia,Always-On Brand,25.3,47,16.0,18058.93
"Apr 20, 2026",UAE,MBC 1,Always-On Brand,43.8,95,26.1,35639.68
"Apr 20, 2026",UAE,Dubai TV,Always-On Brand,40.1,93,24.1,30864.87
"Apr 20, 2026",UAE,MBC 4,Always-On Brand,16.0,32,10.4,12630.92
"Apr 27, 2026",Egypt,ON E,Always-On Brand,46.8,92,27.6,10134.45
"Apr 27, 2026",Egypt,CBC,Always-On Brand,59.6,134,33.7,14929.62
"Apr 27, 2026",Egypt,MBC Masr,Always-On Brand,38.2,68,23.1,8535.94
"Apr 27, 2026",KSA,MBC 1,Always-On Brand,5.9,9,4.0,3926.09
"Apr 27, 2026",KSA,SSC Sports,Always-On Brand,84.4,149,44.1,58616.32
"Apr 27, 2026",KSA,Rotana Khalijia,Always-On Brand,59.6,103,33.7,41120.49
"Apr 27, 2026",UAE,MBC 1,Always-On Brand,27.0,64,17.0,20803.25
"Apr 27, 2026",UAE,Dubai TV,Always-On Brand,42.7,83,25.5,32785.53
"Apr 27, 2026",UAE,MBC 4,Always-On Brand,29.5,50,18.4,22662.73
"May 04, 2026",Egypt,ON E,Always-On Brand,52.9,92,30.6,10463.8
"May 04, 2026",Egypt,CBC,Always-On Brand,40.4,94,24.3,9103.64
"May 04, 2026",Egypt,MBC Masr,Always-On Brand,65.4,120,36.3,14600.87
"May 04, 2026",KSA,MBC 1,Always-On Brand,38.4,91,23.3,29047.29
"May 04, 2026",KSA,SSC Sports,Always-On Brand,50.5,83,29.4,35830.52
"May 04, 2026",KSA,Rotana Khalijia,Always-On Brand,51.9,119,30.1,38194.78
"May 04, 2026",UAE,MBC 1,Always-On Brand,27.3,60,17.2,22308.4
"May 04, 2026",UAE,Dubai TV,Always-On Brand,16.5,31,10.7,12835.64
"May 04, 2026",UAE,MBC 4,Always-On Brand,56.8,107,32.4,42411.08
"May 11, 2026",Egypt,ON E,Always-On Brand,58.3,108,33.1,12907.52
"May 11, 2026",Egypt,CBC,Always-On Brand,66.2,116,36.7,15604.61
"May 11, 2026",Egypt,MBC Masr,Always-On Brand,21.2,47,13.6,5036.79
"May 11, 2026",KSA,MBC 1,Always-On Brand,51.6,105,29.9,37954.48
"May 11, 2026",KSA,SSC Sports,Always-On Brand,73.1,138,39.6,55505.42
"May 11, 2026",KSA,Rotana Khalijia,Always-On Brand,28.2,48,17.7,19911.04
"May 11, 2026",UAE,MBC 1,Always-On Brand,37.2,74,22.6,31790.74
"May 11, 2026",UAE,Dubai TV,Always-On Brand,36.7,66,22.3,25970.13
"May 11, 2026",UAE,MBC 4,Always-On Brand,18.9,33,12.2,16657.22
"May 18, 2026",Egypt,ON E,Always-On Brand,50.8,112,29.6,10038.51
"May 18, 2026",Egypt,CBC,Always-On Brand,48.7,101,28.5,9733.18
"May 18, 2026",Egypt,MBC Masr,Always-On Brand,63.3,119,35.4,13486.58
"May 18, 2026",KSA,MBC 1,Always-On Brand,67.8,110,37.3,44114.4
"May 18, 2026",KSA,SSC Sports,Always-On Brand,55.8,116,31.9,41593.52
"May 18, 2026",KSA,Rotana Khalijia,Always-On Brand,21.4,51,13.7,17736.2
"May 18, 2026",UAE,MBC 1,Always-On Brand,22.0,50,14.1,19532.42
"May 18, 2026",UAE,Dubai TV,Always-On Brand,46.4,84,27.4,33873.81
"May 18, 2026",UAE,MBC 4,Always-On Brand,34.8,61,21.3,29732.19
"May 25, 2026",Egypt,ON E,Always-On Brand,98.5,179,49.3,21202.16
"May 25, 2026",Egypt,CBC,Always-On Brand,16.8,31,11.0,3418.51
"May 25, 2026",Egypt,MBC Masr,Always-On Brand,30.4,57,18.9,7281.09
"May 25, 2026",KSA,MBC 1,Always-On Brand,19.9,38,12.8,14674.09
"May 25, 2026",KSA,SSC Sports,Always-On Brand,71.8,164,39.1,52848.54
"May 25, 2026",KSA,Rotana Khalijia,Always-On Brand,51.4,87,29.8,37960.62
"May 25, 2026",UAE,MBC 1,Always-On Brand,19.9,44,12.8,14741.25
"May 25, 2026",UAE,Dubai TV,Always-On Brand,54.9,109,31.5,43201.88
"May 25, 2026",UAE,MBC 4,Always-On Brand,23.4,46,14.9,18050.49
"Jun 01, 2026",Egypt,ON E,Always-On Brand,23.6,37,15.0,5421.48
"Jun 01, 2026",Egypt,CBC,Always-On Brand,30.9,57,19.2,6072.17
"Jun 01, 2026",Egypt,MBC Masr,Always-On Brand,85.8,204,44.7,18790.96
"Jun 01, 2026",KSA,MBC 1,Always-On Brand,81.0,144,42.8,55280.17
"Jun 01, 2026",KSA,SSC Sports,Always-On Brand,7.9,17,5.3,5385.23
"Jun 01, 2026",KSA,Rotana Khalijia,Always-On Brand,73.2,161,39.6,45705.04
"Jun 01, 2026",UAE,MBC 1,Always-On Brand,6.7,11,4.5,5606.23
"Jun 01, 2026",UAE,Dubai TV,Always-On Brand,31.2,55,19.4,25174.6
"Jun 01, 2026",UAE,MBC 4,Always-On Brand,66.3,108,36.7,48594.02
"Jun 08, 2026",Egypt,ON E,Summer Cooling Push,97.0,190,48.8,20443.72
"Jun 08, 2026",Egypt,CBC,Summer Cooling Push,76.9,126,41.2,15133.89
"Jun 08, 2026",Egypt,MBC Masr,Summer Cooling Push,38.4,67,23.3,7724.05
"Jun 08, 2026",KSA,MBC 1,Always-On Brand,32.7,61,20.2,23055.71
"Jun 08, 2026",KSA,SSC Sports,Summer Cooling Push,33.6,68,20.7,24109.13
"Jun 08, 2026",KSA,Rotana Khalijia,Always-On Brand,77.3,179,41.3,51864.62
"Jun 08, 2026",UAE,MBC 1,Summer Cooling Push,13.1,23,8.6,9148.01
"Jun 08, 2026",UAE,Dubai TV,Summer Cooling Push,76.2,150,40.9,60050.65
"Jun 08, 2026",UAE,MBC 4,Summer Cooling Push,15.8,26,10.4,13442.77
"Jun 15, 2026",Egypt,ON E,Always-On Brand,52.2,91,30.2,11026.16
"Jun 15, 2026",Egypt,CBC,Summer Cooling Push,88.2,145,45.6,20754.08
"Jun 15, 2026",Egypt,MBC Masr,Always-On Brand,57.3,130,32.6,12906.02
"Jun 15, 2026",KSA,MBC 1,Summer Cooling Push,29.2,49,18.3,21941.12
"Jun 15, 2026",KSA,SSC Sports,Summer Cooling Push,46.8,100,27.6,34717.66
"Jun 15, 2026",KSA,Rotana Khalijia,Summer Cooling Push,76.8,124,41.1,56142.22
"Jun 15, 2026",UAE,MBC 1,Summer Cooling Push,39.7,90,24.0,31698.75
"Jun 15, 2026",UAE,Dubai TV,Summer Cooling Push,49.1,110,28.7,41805.21
"Jun 15, 2026",UAE,MBC 4,Always-On Brand,6.0,12,4.1,4512.52
"Jun 22, 2026",Egypt,ON E,Always-On Brand,97.3,178,48.9,19601.38
"Jun 22, 2026",Egypt,CBC,Always-On Brand,87.5,209,45.3,19047.09
"Jun 22, 2026",Egypt,MBC Masr,Summer Cooling Push,22.5,46,14.4,4779.32
"Jun 22, 2026",KSA,MBC 1,Always-On Brand,53.2,89,30.7,35200.78
"Jun 22, 2026",KSA,SSC Sports,Always-On Brand,49.3,88,28.8,32262.18
"Jun 22, 2026",KSA,Rotana Khalijia,Always-On Brand,52.8,118,30.5,41987.94
"Jun 22, 2026",UAE,MBC 1,Always-On Brand,40.6,89,24.4,34497.71
"Jun 22, 2026",UAE,Dubai TV,Always-On Brand,10.6,22,7.0,7488.34
"Jun 22, 2026",UAE,MBC 4,Always-On Brand,53.3,86,30.8,38744.57
"Jun 29, 2026",Egypt,ON E,Summer Cooling Push,50.0,118,29.1,9639.35
"Jun 29, 2026",Egypt,CBC,Always-On Brand,113.6,215,54.3,25337.04
"Jun 29, 2026",Egypt,MBC Masr,Always-On Brand,43.3,88,25.8,9367.09
"Jun 29, 2026",KSA,MBC 1,Summer Cooling Push,25.5,55,16.1,17298.87
"Jun 29, 2026",KSA,SSC Sports,Summer Cooling Push,45.6,98,27.0,34090.43
"Jun 29, 2026",KSA,Rotana Khalijia,Always-On Brand,79.3,138,42.1,61734.42
"Jun 29, 2026",UAE,MBC 1,Summer Cooling Push,70.0,163,38.3,51511.79
"Jun 29, 2026",UAE,Dubai TV,Always-On Brand,22.1,44,14.1,16905.83
"Jun 29, 2026",UAE,MBC 4,Summer Cooling Push,24.0,50,15.2,20479.51
"Jul 06, 2026",Egypt,ON E,Always-On Brand,22.9,42,14.6,4880.75
"Jul 06, 2026",Egypt,CBC,Summer Cooling Push,140.8,331,62.1,33057.09
"Jul 06, 2026",Egypt,MBC Masr,Summer Cooling Push,32.3,61,20.0,7785.03
"Jul 06, 2026",KSA,MBC 1,Always-On Brand,46.4,108,27.4,32132.32
"Jul 06, 2026",KSA,SSC Sports,Summer Cooling Push,54.6,124,31.4,37554.1
"Jul 06, 2026",KSA,Rotana Khalijia,Always-On Brand,48.1,86,28.2,38536.32
"Jul 06, 2026",UAE,MBC 1,Summer Cooling Push,5.6,10,3.8,4430.08
"Jul 06, 2026",UAE,Dubai TV,Summer Cooling Push,46.0,93,27.2,36078.85
"Jul 06, 2026",UAE,MBC 4,Summer Cooling Push,55.1,130,31.6,45163.97
"Jul 13, 2026",Egypt,ON E,Summer Cooling Push,70.5,168,38.5,14909.91
"Jul 13, 2026",Egypt,CBC,Summer Cooling Push,55.2,118,31.6,11435.62
"Jul 13, 2026",Egypt,MBC Masr,Summer Cooling Push,101.1,241,50.2,21212.78
"Jul 13, 2026",KSA,MBC 1,Always-On Brand,30.8,69,19.1,22663.34
"Jul 13, 2026",KSA,SSC Sports,Always-On Brand,47.6,90,28.0,30586.01
"Jul 13, 2026",KSA,Rotana Khalijia,Always-On Brand,84.8,170,44.3,56985.74
"Jul 13, 2026",UAE,MBC 1,Summer Cooling Push,39.7,94,23.9,33689.19
"Jul 13, 2026",UAE,Dubai TV,Summer Cooling Push,38.1,71,23.1,34081.92
"Jul 13, 2026",UAE,MBC 4,Always-On Brand,24.2,50,15.4,18855.94
"Jul 20, 2026",Egypt,ON E,Always-On Brand,65.4,128,36.3,13247.3
"Jul 20, 2026",Egypt,CBC,Always-On Brand,82.2,148,43.3,15450.31
"Jul 20, 2026",Egypt,MBC Masr,Always-On Brand,49.3,79,28.8,11335.96
"Jul 20, 2026",KSA,MBC 1,Always-On Brand,14.3,28,9.4,10096.74
"Jul 20, 2026",KSA,SSC Sports,Always-On Brand,117.4,246,55.5,79304.76
"Jul 20, 2026",KSA,Rotana Khalijia,Always-On Brand,35.5,74,21.7,26273.73
"Jul 20, 2026",UAE,MBC 1,Summer Cooling Push,23.5,40,14.9,19843.78
"Jul 20, 2026",UAE,Dubai TV,Summer Cooling Push,57.3,92,32.6,45419.81
"Jul 20, 2026",UAE,MBC 4,Always-On Brand,31.6,54,19.6,27063.11
"Jul 27, 2026",Egypt,ON E,Summer Cooling Push,48.3,108,28.3,10107.18
"Jul 27, 2026",Egypt,CBC,Always-On Brand,91.9,188,47.0,18625.5
"Jul 27, 2026",Egypt,MBC Masr,Always-On Brand,33.1,56,20.4,7561.96
"Jul 27, 2026",KSA,MBC 1,Summer Cooling Push,118.9,215,56.0,86018.75
"Jul 27, 2026",KSA,SSC Sports,Always-On Brand,43.7,94,26.0,31953.74
"Jul 27, 2026",KSA,Rotana Khalijia,Summer Cooling Push,9.5,16,6.3,6242.92
"Jul 27, 2026",UAE,MBC 1,Summer Cooling Push,23.2,37,14.8,20292.33
"Jul 27, 2026",UAE,Dubai TV,Summer Cooling Push,61.3,143,34.5,47386.63
"Jul 27, 2026",UAE,MBC 4,Always-On Brand,18.7,42,12.1,13961.82
