date,market,category,units_sold,asp_local,revenue_local,currency
2026-06-22,Egypt,TV,2874,44646.19,128339458.78,EGP
2026-06-29,Egypt,TV,2669,47231.66,126073540.97,EGP
2026-07-06,Egypt,TV,2803,49651.35,139184070.57,EGP
2026-07-13,Egypt,TV,2722,50202.12,136668569.21,EGP
2026-07-20,Egypt,TV,2524,50900.24,128496705.98,EGP
2026-07-27,Egypt,TV,2576,49312.62,127076966.4,EGP
2025-08-04,Egypt,Home Appliances,4091,26091.39,106759842.97,EGP
2025-08-11,Egypt,Home Appliances,4391,27086.22,118949916.75,EGP
2025-08-18,Egypt,Home Appliances,4389,26111.97,114627566.26,EGP
2025-08-25,Egypt,Home Appliances,4280,26914.67,115200066.07,EGP
2025-09-01,Egypt,Home Appliances,4402,26443.55,116429437.21,EGP
2025-09-08,Egypt,Home Appliances,4074,26736.84,108942500.06,EGP
2025-09-15,Egypt,Home Appliances,4447,26157.27,116329468.47,EGP
2025-09-22,Egypt,Home Appliances,4638,26725.71,123979765.93,EGP
2025-09-29,Egypt,Home Appliances,4357,26235.3,114329059.05,EGP
2025-10-06,Egypt,Home Appliances,4134,26346.46,108927899.73,EGP
2025-10-13,Egypt,Home Appliances,4576,26692.51,122163907.39,EGP
2025-10-20,Egypt,Home Appliances,4264,26652.3,113645971.82,EGP
2025-10-27,Egypt,Home Appliances,4394,26300.78,115590227.45,EGP
2025-11-03,Egypt,Home Appliances,4562,25897.58,118150021.81,EGP
2025-11-10,Egypt,Home Appliances,3994,26065.3,104130555.06,EGP
2025-11-17,Egypt,Home Appliances,8176,25580.32,209158738.47,EGP
2025-11-24,Egypt,Home Appliances,11012,26252.42,289096525.81,EGP
2025-12-01,Egypt,Home Appliances,6671,27347.02,182453803.58,EGP
2025-12-08,Egypt,Home Appliances,4410,26093.25,115075776.86,EGP
2025-12-15,Egypt,Home Appliances,6170,26206.5,161710893.34,EGP
2025-12-22,Egypt,Home Appliances,6176,26356.03,162784979.79,EGP
2025-12-29,Egypt,Home Appliances,6143,26571.64,163249080.49,EGP
2026-01-05,Egypt,Home Appliances,3913,26332.95,103042536.87,EGP
2026-01-12,Egypt,Home Appliances,4090,26389.35,107946031.49,EGP
2026-01-19,Egypt,Home Appliances,3811,26560.63,101246819.6,EGP
2026-01-26,Egypt,Home Appliances,3621,26189.9,94846109.05,EGP
2026-02-02,Egypt,Home Appliances,3361,26186.04,88021308.55,EGP
2026-02-09,Egypt,Home Appliances,3572,26314.44,94011327.65,EGP
2026-02-16,Egypt,Home Appliances,3436,26013.53,89390551.57,EGP
2026-02-23,Egypt,Home Appliances,4501,26599.59,119731832.69,EGP
2026-03-02,Egypt,Home Appliances,4863,26064.84,126760498.18,EGP
2026-03-09,Egypt,Home Appliances,5077,26570.21,134915077.82,EGP
2026-03-16,Egypt,Home Appliances,4736,26252.73,124357038.94,EGP
2026-03-23,Egypt,Home Appliances,4855,26217.77,127301445.83,EGP
2026-03-30,Egypt,Home Appliances,3683,26479.31,97538034.77,EGP
2026-04-06,Egypt,Home Appliances,3664,26362.22,96614032.3,EGP
2026-04-13,Egypt,Home Appliances,3828,26678.21,102127067.65,EGP
2026-04-20,Egypt,Home Appliances,3421,25894.78,88601778.25,EGP
2026-04-27,Egypt,Home Appliances,3761,26495.93,99665571.66,EGP
2026-05-04,Egypt,Home Appliances,3822,26397.55,100899942.0,EGP
2026-05-11,Egypt,Home Appliances,3661,26569.37,97277943.11,EGP
2026-05-18,Egypt,Home Appliances,3896,26617.59,103714392.88,EGP
2026-05-25,Egypt,Home Appliances,4084,26469.57,108102664.41,EGP
2026-06-01,Egypt,Home Appliances,3996,26277.36,105007392.98,EGP
2026-06-08,Egypt,Home Appliances,3817,27274.32,104118773.38,EGP
2026-06-15,Egypt,Home Appliances,3262,28412.41,92708877.67,EGP
2026-06-22,Egypt,Home Appliances,3399,29711.05,101010854.03,EGP
2026-06-29,Egypt,Home Appliances,3568,31301.71,111700860.26,EGP
2026-07-06,Egypt,Home Appliances,3173,32390.77,102785765.08,EGP
2026-07-13,Egypt,Home Appliances,3028,33066.1,100155680.9,EGP
2026-07-20,Egypt,Home Appliances,2729,34097.25,93067563.1,EGP
2026-07-27,Egypt,Home Appliances,2895,34009.25,98488366.44,EGP
2025-12-08,UAE,Home Appliances,3018,2019.08,6093730.46,AED
2026-01-05,KSA,Home Appliances,4903,2221.47,10892830.37,SAR
2026-04-13,KSA,Home Appliances,5055,2175.98,10999837.45,SAR
2025-11-24,UAE,Smartphones,26895,2452.16,65952103.26,AED
2025-09-22,Egypt,Smartphones,12239,31245.43,382436180.66,EGP
2026-05-04,KSA,Smartphones,14383,2559.73,36819134.66,SAR
2025-08-11,UAE,TV,2661,3090.0,8222850.71,AED
2025-09-01,UAE,TV,2824,3034.36,8570872.85,AED
2025-09-22,UAE,TV,3009,3109.57,9357525.84,AED
