date,market,brand,mentions,share_of_voice_pct,pr_sentiment
2026-01-12,Egypt,Rival B,503,21.79%,0.402
2026-01-12,Egypt,Rival C,361,15.66%,0.487
2026-01-19,Egypt,Samsung,833,35.47%,0.287
2026-01-19,Egypt,Rival A,597,25.45%,0.371
2026-01-19,Egypt,Rival B,520,22.14%,0.33
2026-01-19,Egypt,Rival C,397,16.94%,0.445
2026-01-26,Egypt,Samsung,1135,34.76%,0.365
2026-01-26,Egypt,Rival A,847,25.94%,0.248
2026-01-26,Egypt,Rival B,733,22.46%,0.371
2026-01-26,Egypt,Rival C,550,16.84%,0.485
2026-02-02,Egypt,Samsung,1059,34.75%,0.413
2026-02-02,Egypt,Rival A,787,25.83%,0.46
2026-02-02,Egypt,Rival B,664,21.8%,0.462
2026-02-02,Egypt,Rival C,537,17.62%,0.367
2026-02-09,Egypt,Samsung,992,35.36%,0.328
2026-02-09,Egypt,Rival A,732,26.1%,0.347
2026-02-09,Egypt,Rival B,625,22.29%,0.434
2026-02-09,Egypt,Rival C,456,16.26%,0.47
2026-02-16,Egypt,Samsung,950,34.31%,0.363
2026-02-16,Egypt,Rival A,692,25.02%,0.354
2026-02-16,Egypt,Rival B,614,22.21%,0.416
2026-02-16,Egypt,Rival C,511,18.46%,0.307
2026-02-23,Egypt,Samsung,1170,34.99%,0.472
2026-02-23,Egypt,Rival A,897,26.84%,0.427
2026-02-23,Egypt,Rival B,732,21.9%,0.359
2026-02-23,Egypt,Rival C,544,16.27%,0.462
2026-03-02,Egypt,Samsung,1842,34.42%,-0.019
2026-03-02,Egypt,Rival A,1367,25.54%,0.383
2026-03-02,Egypt,Rival B,1173,21.93%,0.346
2026-03-02,Egypt,Rival C,969,18.11%,0.427
2026-03-09,Egypt,Samsung,746,35.31%,-0.001
2026-03-09,Egypt,Rival A,554,26.23%,0.388
2026-03-09,Egypt,Rival B,461,21.83%,0.393
2026-03-09,Egypt,Rival C,351,16.63%,0.355
2026-03-16,Egypt,Samsung,722,33.29%,0.013
2026-03-16,Egypt,Rival A,590,27.18%,0.319
2026-03-16,Egypt,Rival B,483,22.26%,0.299
2026-03-16,Egypt,Rival C,375,17.27%,0.333
2026-03-23,Egypt,Samsung,719,33.34%,-0.085
2026-03-23,Egypt,Rival A,582,27.0%,0.397
2026-03-23,Egypt,Rival B,498,23.09%,0.38
2026-03-23,Egypt,Rival C,357,16.57%,0.393
2026-03-30,Egypt,Samsung,706,33.71%,0.349
2026-03-30,Egypt,Rival A,569,27.19%,0.329
2026-03-30,Egypt,Rival B,466,22.26%,0.437
2026-03-30,Egypt,Rival C,352,16.84%,0.468
2026-04-06,Egypt,Samsung,688,33.72%,0.438
2026-04-06,Egypt,Rival A,536,26.25%,0.353
2026-04-06,Egypt,Rival B,430,21.1%,0.461
2026-04-06,Egypt,Rival C,386,18.94%,0.309
2026-04-13,Egypt,Samsung,794,34.0%,0.358
2026-04-13,Egypt,Rival A,640,27.39%,0.461
2026-04-13,Egypt,Rival B,513,21.98%,0.483
2026-04-13,Egypt,Rival C,388,16.62%,0.458
2026-04-20,Egypt,Samsung,559,35.29%,0.373
2026-04-20,Egypt,Rival A,418,26.39%,0.373
2026-04-20,Egypt,Rival B,326,20.6%,0.334
2026-04-20,Egypt,Rival C,280,17.72%,0.439
2026-04-27,Egypt,Samsung,720,34.99%,0.357
2026-04-27,Egypt,Rival A,495,24.07%,0.357
2026-04-27,Egypt,Rival B,472,22.94%,0.309
2026-04-27,Egypt,Rival C,370,18.01%,0.295
2026-05-04,Egypt,Samsung,512,32.74%,0.441
2026-05-04,Egypt,Rival A,426,27.24%,0.471
2026-05-04,Egypt,Rival B,337,21.58%,0.33
2026-05-04,Egypt,Rival C,288,18.43%,0.298
2026-05-11,Egypt,Samsung,754,33.57%,0.386
2026-05-11,Egypt,Rival A,596,26.54%,0.288
2026-05-11,Egypt,Rival B,503,22.4%,0.332
2026-05-11,Egypt,Rival C,393,17.49%,0.479
2026-05-18,Egypt,Samsung,603,33.14%,0.305
2026-05-18,Egypt,Rival A,540,29.67%,0.358
2026-05-18,Egypt,Rival B,384,21.12%,0.425
2026-05-18,Egypt,Rival C,292,16.07%,0.368
2026-05-25,Egypt,Samsung,678,31.32%,0.33
2026-05-25,Egypt,Rival A,640,29.57%,0.374
2026-05-25,Egypt,Rival B,485,22.45%,0.457
2026-05-25,Egypt,Rival C,360,16.66%,0.364
2026-06-01,Egypt,Samsung,520,31.8%,0.424
2026-06-01,Egypt,Rival A,475,29.06%,0.353
2026-06-01,Egypt,Rival B,350,21.45%,0.451
2026-06-01,Egypt,Rival C,289,17.7%,0.451
2026-06-08,Egypt,Samsung,557,31.38%,0.582
2026-06-08,Egypt,Rival A,551,31.04%,0.341
2026-06-08,Egypt,Rival B,380,21.4%,0.313
2026-06-08,Egypt,Rival C,287,16.18%,0.386
2026-06-15,Egypt,Samsung,595,29.26%,0.428
2026-06-15,Egypt,Rival A,643,31.64%,0.317
2026-06-15,Egypt,Rival B,438,21.57%,0.432
2026-06-15,Egypt,Rival C,356,17.53%,0.327
2026-06-22,Egypt,Samsung,675,29.72%,0.442
2026-06-22,Egypt,Rival A,703,30.94%,0.235
2026-06-22,Egypt,Rival B,476,20.95%,0.466
2026-06-22,Egypt,Rival C,417,18.38%,0.466
2026-06-29,Egypt,Samsung,651,29.33%,0.393
2026-06-29,Egypt,Rival A,704,31.74%,0.392
2026-06-29,Egypt,Rival B,490,22.07%,0.351
2026-06-29,Egypt,Rival C,374,16.85%,0.418
2026-07-06,Egypt,Samsung,588,28.62%,0.294
2026-07-06,Egypt,Rival A,681,33.11%,0.481
2026-07-06,Egypt,Rival B,434,21.1%,0.356
2026-07-06,Egypt,Rival C,353,17.17%,0.447
2026-07-13,Egypt,Samsung,629,27.78%,0.208
2026-07-13,Egypt,Rival A,769,33.93%,0.289
2026-07-13,Egypt,Rival B,484,21.35%,0.368
2026-07-13,Egypt,Rival C,384,16.94%,0.287
2026-07-20,Egypt,Samsung,507,26.26%,0.391
2026-07-20,Egypt,Rival A,668,34.62%,0.441
2026-07-20,Egypt,Rival B,419,21.71%,0.463
2026-07-20,Egypt,Rival C,336,17.41%,0.278
2026-07-27,Egypt,Samsung,623,25.75%,0.469
2026-07-27,Egypt,Rival A,893,36.88%,0.368
2026-07-27,Egypt,Rival B,547,22.6%,0.391
2026-07-27,Egypt,Rival C,357,14.77%,0.355
