week,market,channel,product,impressions,clicks,spend_aed,conversions,sales_aed,engagement_rate,brand_awareness,purchase_intent,influencer,followers,tv_grp,pr_mentions,pr_share_of_voice,sessions,bounce_rate,avg_session_sec,pages_per_session,competitor_sov,sentiment,media_type,channel_role,revenue_attributed,cpm_aed,cpc_aed,ctr,cpa_aed,roas,aov_aed,cost_per_grp_aed
3,SEEG,Influencer,Galaxy Z Fold8,,,"4,571",29,"10,471",3.04,44,46.50,Influencer_14,"704,884",,,,,,,,11.20,0.90,paid,response,True,,,,157.62,2.29,361.07,
3,SEEG,TV,Galaxy Z Fold8,,,"43,299",,,,65.10,56.50,,,372,,,,,,,14.90,0.72,paid,brand,False,,,,,,,116.40
3,SEEG,Search,Galaxy Z Fold8,"406,837","7,670","14,570",664,"195,741",1.89,65.20,41.80,,,,,,,,,,9.20,0.87,paid,response,True,35.81,1.90,0.02,21.94,13.43,294.79,
3,SEEG,Website,Galaxy Z Fold8,,,,663,"197,170",,46.50,28.80,,,,,,"48,432",36.90,228,3.56,10.60,0.84,earned,owned,True,,,,,,297.39,
3,SEEG,PR,Galaxy Z Fold8,,,0,,,,75.20,51.20,,,,33,32.10,,,,,8.30,0.83,earned,brand,False,,,,,,,
3,SEEG,Retail,Galaxy Z Fold8,"27,353",,"5,215",45,"34,079",5.65,58.90,45.50,,,,,,,,,,9.90,0.88,paid,response,True,190.66,,,115.89,6.53,757.31,
3,SEEG,Paid Social,Galaxy Z Flip8,"539,751","5,603","25,057",552,"155,060",1.34,43.80,54.80,,,,,,,,,,16.40,0.93,paid,response,True,46.42,4.47,0.01,45.39,6.19,280.91,
3,SEEG,Influencer,Galaxy Z Flip8,,,"2,968",10,"4,141",3.22,49.60,23.10,Influencer_13,"339,164",,,,,,,,16.40,0.89,paid,response,True,,,,296.80,1.40,414.10,
3,SEEG,TV,Galaxy Z Flip8,,,"62,051",,,,53.20,51.20,,,761,,,,,,,8.80,0.82,paid,brand,False,,,,,,,81.54
3,SEEG,Search,Galaxy Z Flip8,"580,946","11,302","9,662","1,556","534,708",1.95,66.50,41.30,,,,,,,,,,7.50,0.82,paid,response,True,16.63,0.85,0.02,6.21,55.34,343.64,
3,SEEG,Website,Galaxy Z Flip8,,,,"1,299","477,747",,39,43.60,,,,,,"82,647",30.50,190,2.91,11.60,0.79,earned,owned,True,,,,,,367.78,
3,SEEG,PR,Galaxy Z Flip8,,,0,,,,61.30,67.20,,,,57,37.50,,,,,10.80,0.89,earned,brand,False,,,,,,,
3,SEEG,Retail,Galaxy Z Flip8,"24,501",,"2,291",124,"61,558",4.16,51,45.60,,,,,,,,,,13.20,0.81,paid,response,True,93.51,,,18.48,26.87,496.44,
3,SEEG,Paid Social,Galaxy S24,"473,253","3,964","17,532",282,"91,979",1.42,58.40,49.30,,,,,,,,,,11.90,0.79,paid,response,True,37.05,4.42,0.01,62.17,5.25,326.17,
3,SEEG,Influencer,Galaxy S24,,,"5,733",26,"5,812",5,61.60,45.90,Influencer_15,"407,772",,,,,,,,12.80,0.77,paid,response,True,,,,220.50,1.01,223.54,
3,SEEG,TV,Galaxy S24,,,"40,964",,,,62.40,56.60,,,302,,,,,,,16.70,0.81,paid,brand,False,,,,,,,135.64
3,SEEG,Search,Galaxy S24,"284,494","6,109","9,927","1,014","441,173",2.15,67,43.10,,,,,,,,,,12.10,0.89,paid,response,True,34.89,1.62,0.02,9.79,44.44,435.08,
3,SEEG,Website,Galaxy S24,,,,783,"162,524",,59.70,35.10,,,,,,"62,482",34.50,239,3.22,10,0.85,earned,owned,True,,,,,,207.57,
3,SEEG,PR,Galaxy S24,,,0,,,,74.90,63.50,,,,56,18.10,,,,,6.50,0.90,earned,brand,False,,,,,,,
3,SEEG,Retail,Galaxy S24,"24,163",,"4,182",120,"51,660",4.36,54.80,49.90,,,,,,,,,,7.30,0.87,paid,response,True,173.07,,,34.85,12.35,430.50,
3,SEEG,Paid Social,Galaxy Tab S10,"601,463","6,246","35,284",465,"183,698",1.20,49.80,49.40,,,,,,,,,,8.60,0.87,paid,response,True,58.66,5.65,0.01,75.88,5.21,395.05,
3,SEEG,Influencer,Galaxy Tab S10,,,"7,859",26,"9,849",4.51,43.70,25.90,Influencer_13,"946,490",,,,,,,,11.60,0.81,paid,response,True,,,,302.27,1.25,378.81,
3,SEEG,TV,Galaxy Tab S10,,,"63,668",,,,66,56.60,,,488,,,,,,,15.40,0.88,paid,brand,False,,,,,,,130.47
3,SEEG,Search,Galaxy Tab S10,"530,613","8,990","13,515",800,"396,088",1.69,66.40,55.90,,,,,,,,,,11.50,0.78,paid,response,True,25.47,1.50,0.02,16.89,29.31,495.11,
3,SEEG,Website,Galaxy Tab S10,,,,"1,137","356,157",,55.60,35.90,,,,,,"77,883",30.80,264,2.79,12.20,0.91,earned,owned,True,,,,,,313.24,
3,SEEG,PR,Galaxy Tab S10,,,0,,,,77.90,61.50,,,,65,48.60,,,,,11.80,0.96,earned,brand,False,,,,,,,
3,SEEG,Retail,Galaxy Tab S10,"18,598",,"4,504",213,"86,600",5.39,67.10,46.20,,,,,,,,,,13.20,0.95,paid,response,True,242.18,,,21.15,19.23,406.57,
3,SEEG,Paid Social,Galaxy Buds3,"67,559",873,"3,208",42,"9,263",0.82,52.50,46.30,,,,,,,,,,14,0.88,paid,response,True,47.48,3.67,0.01,76.38,2.89,220.55,
3,SEEG,Influencer,Galaxy Buds3,,,638,28,"9,588",4.02,39.50,34.50,Influencer_15,"600,099",,,,,,,,16.30,0.92,paid,response,True,,,,22.79,15.03,342.43,
3,SEEG,PR,Galaxy Buds3,,,0,,,,76.30,46.70,,,,5,29.70,,,,,3.70,0.90,earned,brand,False,,,,,,,
3,SEEG,Paid Social,Galaxy Watch6,"388,458","5,069","18,864",469,"184,665",0.90,43.60,52.80,,,,,,,,,,16.80,0.92,paid,response,True,48.56,3.72,0.01,40.22,9.79,393.74,
3,SEEG,Influencer,Galaxy Watch6,,,"5,470",32,"11,290",5.76,50.50,36.50,Influencer_13,"833,790",,,,,,,,10.70,0.79,paid,response,True,,,,170.94,2.06,352.81,
3,SEEG,TV,Galaxy Watch6,,,"46,993",,,,65.40,60.70,,,271,,,,,,,11,0.82,paid,brand,False,,,,,,,173.41
3,SEEG,Search,Galaxy Watch6,"347,892","7,398","14,866",616,"160,997",2.13,56.30,42.50,,,,,,,,,,11,0.93,paid,response,True,42.73,2.01,0.02,24.13,10.83,261.36,
3,SEEG,Website,Galaxy Watch6,,,,384,"147,004",,40.60,50.20,,,,,,"40,833",44.70,221,3.20,7.40,0.84,earned,owned,True,,,,,,382.82,
3,SEEG,PR,Galaxy Watch6,,,0,,,,68,58.10,,,,18,35.50,,,,,9.10,0.94,earned,brand,False,,,,,,,
3,SEEG,Retail,Galaxy Watch6,"11,276",,"3,920",118,"61,555",5.62,61.50,51.60,,,,,,,,,,8.80,0.95,paid,response,True,347.64,,,33.22,15.70,521.65,
3,SEIL,Paid Social,Galaxy Z Fold8,"515,390","5,166","10,360",493,"147,608",1.01,63.10,36.40,,,,,,,,,,14.10,0.84,paid,response,True,20.10,2.01,0.01,21.01,14.25,299.41,
3,SEIL,Influencer,Galaxy Z Fold8,,,"4,244",15,"5,809",4.80,42.50,25.50,Influencer_16,"254,127",,,,,,,,12.20,0.92,paid,response,True,,,,282.93,1.37,387.27,
3,SEIL,TV,Galaxy Z Fold8,,,"37,963",,,,54.30,46.50,,,415,,,,,,,18.50,0.72,paid,brand,False,,,,,,,91.48
3,SEIL,Search,Galaxy Z Fold8,"282,306","5,092","11,774",743,"268,171",1.80,48.60,52.90,,,,,,,,,,7.90,0.81,paid,response,True,41.71,2.31,0.02,15.85,22.78,360.93,
3,SEIL,Website,Galaxy Z Fold8,,,,"1,559","445,425",,59.10,48.90,,,,,,"93,810",26.70,187,3.39,14,0.82,earned,owned,True,,,,,,285.71,
3,SEIL,PR,Galaxy Z Fold8,,,0,,,,65.50,59.50,,,,53,28.10,,,,,5.50,0.92,earned,brand,False,,,,,,,
3,SEIL,Retail,Galaxy Z Fold8,"30,408",,"2,222",176,"46,190",5.02,52.30,48.40,,,,,,,,,,9.20,0.85,paid,response,True,73.07,,,12.62,20.79,262.44,
3,SEIL,Paid Social,Galaxy Z Flip8,"935,755","13,697","30,920",803,"257,664",1.07,47.40,44.50,,,,,,,,,,11.70,0.77,paid,response,True,33.04,2.26,0.01,38.51,8.33,320.88,
3,SEIL,Influencer,Galaxy Z Flip8,,,"7,709",34,"7,218",4.87,61.40,42.10,Influencer_17,"600,560",,,,,,,,16.70,0.84,paid,response,True,,,,226.74,0.94,212.29,
3,SEIL,TV,Galaxy Z Flip8,,,"50,257",,,,57.80,59.60,,,598,,,,,,,11.30,0.84,paid,brand,False,,,,,,,84.04
3,SEIL,Search,Galaxy Z Flip8,"568,839","11,224","18,818","1,722","734,634",1.97,49.10,41.70,,,,,,,,,,12,0.81,paid,response,True,33.08,1.68,0.02,10.93,39.04,426.62,
3,SEIL,Website,Galaxy Z Flip8,,,,794,"323,890",,55.70,36.80,,,,,,"53,955",25.20,175,3.29,13.80,0.80,earned,owned,True,,,,,,407.92,
3,SEIL,PR,Galaxy Z Flip8,,,0,,,,56.80,67.10,,,,25,21.70,,,,,9.50,0.93,earned,brand,False,,,,,,,
3,SEIL,Retail,Galaxy Z Flip8,"25,179",,"4,900",94,"37,088",5.43,52.60,58.10,,,,,,,,,,13.20,0.88,paid,response,True,194.61,,,52.13,7.57,394.55,
3,SEIL,Paid Social,Galaxy S24,"470,035","6,708","14,203",404,"107,762",1.46,58.70,56.30,,,,,,,,,,9.80,0.81,paid,response,True,30.22,2.12,0.01,35.16,7.59,266.74,
3,SEIL,Influencer,Galaxy S24,,,"7,397",10,"4,331",3.40,45.40,33,Influencer_16,"539,113",,,,,,,,7.70,0.94,paid,response,True,,,,739.70,0.59,433.10,
3,SEIL,TV,Galaxy S24,,,"37,283",,,,62,51.80,,,385,,,,,,,19.30,0.84,paid,brand,False,,,,,,,96.84
3,SEIL,Search,Galaxy S24,"309,923","5,719","10,672",539,"259,049",1.85,49.70,49.40,,,,,,,,,,14,0.89,paid,response,True,34.43,1.87,0.02,19.80,24.27,480.61,
3,SEIL,Website,Galaxy S24,,,,417,"90,740",,51,44.30,,,,,,"50,036",39.60,264,2.53,6.50,0.76,earned,owned,True,,,,,,217.60,
3,SEIL,PR,Galaxy S24,,,0,,,,72,66.20,,,,53,23,,,,,8.80,0.88,earned,brand,False,,,,,,,
3,SEIL,Retail,Galaxy S24,"37,922",,"3,958",133,"60,590",5.38,65.60,60.70,,,,,,,,,,10.30,0.80,paid,response,True,104.37,,,29.76,15.31,455.56,
3,SEIL,Paid Social,Galaxy Tab S10,"1,130,548","15,517","36,482",771,"218,829",1.49,49.50,37.70,,,,,,,,,,7.20,0.95,paid,response,True,32.27,2.35,0.01,47.32,6.00,283.82,
3,SEIL,Influencer,Galaxy Tab S10,,,"13,111",16,"3,586",3.78,47.70,46,Influencer_16,"295,071",,,,,,,,13.60,0.79,paid,response,True,,,,819.44,0.27,224.12,
3,SEIL,TV,Galaxy Tab S10,,,"42,756",,,,60.60,44.30,,,"1,173",,,,,,,16.60,0.90,paid,brand,False,,,,,,,36.45
3,SEIL,Search,Galaxy Tab S10,"827,694","15,633","34,046","1,383","608,295",1.89,62.60,36.80,,,,,,,,,,7.50,0.90,paid,response,True,41.13,2.18,0.02,24.62,17.87,439.84,
3,SEIL,Website,Galaxy Tab S10,,,,"1,374","296,437",,62.70,48.30,,,,,,"106,651",35.80,228,3.25,16.20,0.75,earned,owned,True,,,,,,215.75,
3,SEIL,PR,Galaxy Tab S10,,,0,,,,74.20,44.70,,,,81,22.70,,,,,4.70,0.93,earned,brand,False,,,,,,,
3,SEIL,Retail,Galaxy Tab S10,"60,424",,"5,850",304,"123,805",2.60,61.60,63.50,,,,,,,,,,6.30,0.82,paid,response,True,96.82,,,19.24,21.16,407.25,
3,SEIL,Paid Social,Galaxy Buds3,"132,740","1,079","2,126",64,"19,980",0.81,58.50,55.70,,,,,,,,,,16.30,0.72,paid,response,True,16.02,1.97,0.01,33.22,9.40,312.19,
3,SEIL,Influencer,Galaxy Buds3,,,554,27,"6,261",5.42,48.80,47,Influencer_16,"378,980",,,,,,,,9.30,0.91,paid,response,True,,,,20.52,11.30,231.89,
3,SEIL,PR,Galaxy Buds3,,,0,,,,75.40,62,,,,11,31.10,,,,,7.20,0.82,earned,brand,False,,,,,,,
3,SEIL,Paid Social,Galaxy Watch6,"676,193","8,135","12,993",534,"208,886",0.95,40.90,33.80,,,,,,,,,,7.30,0.77,paid,response,True,19.21,1.60,0.01,24.33,16.08,391.17,
3,SEIL,Influencer,Galaxy Watch6,,,"5,931",12,"3,277",4.94,51.40,27,Influencer_17,"376,214",,,,,,,,15,0.88,paid,response,True,,,,494.25,0.55,273.08,
3,SEIL,TV,Galaxy Watch6,,,"43,036",,,,54.90,61.50,,,628,,,,,,,9.20,0.72,paid,brand,False,,,,,,,68.53
3,SEIL,Search,Galaxy Watch6,"273,053","5,206","15,195",633,"311,577",1.91,63.50,50.60,,,,,,,,,,7.70,0.88,paid,response,True,55.65,2.92,0.02,24.00,20.51,492.22,
3,SEIL,Website,Galaxy Watch6,,,,"1,167","303,202",,56.50,43.30,,,,,,"93,367",28.50,159,3.39,7.40,0.90,earned,owned,True,,,,,,259.81,
3,SEIL,PR,Galaxy Watch6,,,0,,,,54.60,49.50,,,,45,25.40,,,,,4.70,0.88,earned,brand,False,,,,,,,
3,SEIL,Retail,Galaxy Watch6,"17,537",,"4,535",119,"74,609",4.03,59.30,57.50,,,,,,,,,,7.70,0.81,paid,response,True,258.60,,,38.11,16.45,626.97,
3,SEPAK,Paid Social,Galaxy Z Fold8,"335,445","4,554","16,526",363,"68,948",1.45,41.10,39.50,,,,,,,,,,9,0.76,paid,response,True,49.27,3.63,0.01,45.53,4.17,189.94,
3,SEPAK,Influencer,Galaxy Z Fold8,,,"2,312",50,"23,872",4.09,39.20,46.60,Influencer_20,"995,248",,,,,,,,12,0.77,paid,response,True,,,,46.24,10.33,477.44,
3,SEPAK,TV,Galaxy Z Fold8,,,"27,252",,,,62.10,54,,,460,,,,,,,13.20,0.87,paid,brand,False,,,,,,,59.24
3,SEPAK,Search,Galaxy Z Fold8,"282,451","4,039","8,164",454,"126,856",1.43,62.60,55,,,,,,,,,,9.20,0.82,paid,response,True,28.90,2.02,0.01,17.98,15.54,279.42,
3,SEPAK,Website,Galaxy Z Fold8,,,,928,"198,206",,50,37.70,,,,,,"67,039",33.70,205,3.89,7.90,0.88,earned,owned,True,,,,,,213.58,
3,SEPAK,PR,Galaxy Z Fold8,,,0,,,,61.20,52,,,,60,31.80,,,,,3.90,0.89,earned,brand,False,,,,,,,
3,SEPAK,Retail,Galaxy Z Fold8,"20,632",,"2,559",52,"51,010",3.83,53.40,51.90,,,,,,,,,,13.10,0.89,paid,response,True,124.03,,,49.21,19.93,980.96,
3,SEPAK,Paid Social,Galaxy Z Flip8,"731,158","9,915","14,054",855,"246,401",0.96,51.90,44.30,,,,,,,,,,16.80,0.75,paid,response,True,19.22,1.42,0.01,16.44,17.53,288.19,
3,SEPAK,Influencer,Galaxy Z Flip8,,,"7,184",22,"10,159",3.48,41.30,36,Influencer_19,"685,242",,,,,,,,9.30,0.94,paid,response,True,,,,326.55,1.41,461.77,
3,SEPAK,TV,Galaxy Z Flip8,,,"31,809",,,,65.30,39.60,,,692,,,,,,,20,0.73,paid,brand,False,,,,,,,45.97
3,SEPAK,Search,Galaxy Z Flip8,"437,404","8,457","21,217",704,"288,172",1.93,56.20,53.30,,,,,,,,,,13.20,0.85,paid,response,True,48.51,2.51,0.02,30.14,13.58,409.34,
3,SEPAK,Website,Galaxy Z Flip8,,,,575,"223,255",,41.90,35.40,,,,,,"65,219",38.90,254,3.92,13,0.77,earned,owned,True,,,,,,388.27,
3,SEPAK,PR,Galaxy Z Flip8,,,0,,,,58.50,55.10,,,,64,41.10,,,,,8.70,0.89,earned,brand,False,,,,,,,
3,SEPAK,Retail,Galaxy Z Flip8,"36,646",,"3,899",75,"61,704",2.74,67.40,57.50,,,,,,,,,,11.60,0.80,paid,response,True,106.40,,,51.99,15.83,822.72,
3,SEPAK,Paid Social,Galaxy S24,"497,332","4,224","13,744",348,"78,003",1.33,60.40,47,,,,,,,,,,13.40,0.75,paid,response,True,27.64,3.25,0.01,39.49,5.68,224.15,
3,SEPAK,Influencer,Galaxy S24,,,"3,450",16,"3,463",4.67,62.30,43.20,Influencer_20,"284,891",,,,,,,,16,0.77,paid,response,True,,,,215.62,1.00,216.44,
3,SEPAK,TV,Galaxy S24,,,"32,374",,,,66.50,48.60,,,382,,,,,,,10.30,0.83,paid,brand,False,,,,,,,84.75
3,SEPAK,Search,Galaxy S24,"201,078","3,540","10,024",332,"116,358",1.76,57.70,49.50,,,,,,,,,,12.40,0.90,paid,response,True,49.85,2.83,0.02,30.19,11.61,350.48,
3,SEPAK,Website,Galaxy S24,,,,722,"281,739",,49.20,29.40,,,,,,"46,498",31.40,218,3.26,10.20,0.83,earned,owned,True,,,,,,390.22,
3,SEPAK,PR,Galaxy S24,,,0,,,,57.60,61.30,,,,50,30.80,,,,,9.70,0.89,earned,brand,False,,,,,,,
3,SEPAK,Retail,Galaxy S24,"21,091",,"3,851",130,"43,351",5.20,68.90,61.20,,,,,,,,,,13.50,0.81,paid,response,True,182.59,,,29.62,11.26,333.47,
3,SEPAK,Paid Social,Galaxy Tab S10,"967,614","13,728","14,860",637,"238,547",1,68.20,31.90,,,,,,,,,,9.80,0.87,paid,response,True,15.36,1.08,0.01,23.33,16.05,374.49,
3,SEPAK,Influencer,Galaxy Tab S10,,,"7,264",28,"5,790",5.56,46.40,43.50,Influencer_19,"357,808",,,,,,,,16.40,0.84,paid,response,True,,,,259.43,0.80,206.79,
3,SEPAK,TV,Galaxy Tab S10,,,"57,532",,,,69.40,40,,,626,,,,,,,10.50,0.72,paid,brand,False,,,,,,,91.90
3,SEPAK,Search,Galaxy Tab S10,"421,806","8,583","27,026","1,239","462,775",2.03,52.80,49.50,,,,,,,,,,8.70,0.87,paid,response,True,64.07,3.15,0.02,21.81,17.12,373.51,
3,SEPAK,Website,Galaxy Tab S10,,,,"1,961","610,486",,46.30,47.70,,,,,,"119,488",31.10,183,3.85,8.80,0.82,earned,owned,True,,,,,,311.31,
3,SEPAK,PR,Galaxy Tab S10,,,0,,,,55.70,52.40,,,,56,44.10,,,,,7.70,0.83,earned,brand,False,,,,,,,
3,SEPAK,Retail,Galaxy Tab S10,"26,536",,"4,915",196,"61,386",2.73,53.50,59.20,,,,,,,,,,13.20,0.92,paid,response,True,185.22,,,25.08,12.49,313.19,
3,SEPAK,Paid Social,Galaxy Buds3,"70,145",677,"1,601",80,"23,490",1.11,50.60,34.80,,,,,,,,,,15,0.87,paid,response,True,22.82,2.36,0.01,20.01,14.67,293.62,
3,SEPAK,Influencer,Galaxy Buds3,,,890,19,"6,841",3.81,37.50,23.70,Influencer_19,"355,130",,,,,,,,16.40,0.90,paid,response,True,,,,46.84,7.69,360.05,
3,SEPAK,PR,Galaxy Buds3,,,0,,,,58.40,67.90,,,,9,48.80,,,,,8.50,0.88,earned,brand,False,,,,,,,
3,SEPAK,Paid Social,Galaxy Watch6,"503,605","6,515","16,516",727,"285,275",1.33,69.30,48.60,,,,,,,,,,16.10,0.88,paid,response,True,32.80,2.54,0.01,22.72,17.27,392.40,
3,SEPAK,Influencer,Galaxy Watch6,,,"5,395",26,"5,512",4.91,54.20,26.50,Influencer_19,"555,136",,,,,,,,7.30,0.87,paid,response,True,,,,207.50,1.02,212,
3,SEPAK,TV,Galaxy Watch6,,,"26,664",,,,59.90,47.70,,,376,,,,,,,15.50,0.76,paid,brand,False,,,,,,,70.91
3,SEPAK,Search,Galaxy Watch6,"345,601","4,914","11,463",489,"134,512",1.42,65.40,50.20,,,,,,,,,,14.40,0.94,paid,response,True,33.17,2.33,0.01,23.44,11.73,275.08,
3,SEPAK,Website,Galaxy Watch6,,,,606,"169,340",,47.60,31.70,,,,,,"61,017",37.10,164,3.86,15,0.82,earned,owned,True,,,,,,279.44,
3,SEPAK,PR,Galaxy Watch6,,,0,,,,63.10,51.30,,,,39,15.40,,,,,7.60,0.89,earned,brand,False,,,,,,,
3,SEPAK,Retail,Galaxy Watch6,"18,080",,"4,981",103,"47,084",5.21,55.80,61.10,,,,,,,,,,13.80,0.86,paid,response,True,275.50,,,48.36,9.45,457.13,
4,SGE,Paid Social,Galaxy Z Fold8,"836,612","9,118","26,944",800,"148,727",1.01,70.70,45.60,,,,,,,,,,10,0.93,paid,response,True,32.21,2.96,0.01,33.68,5.52,185.91,
4,SGE,Influencer,Galaxy Z Fold8,,,"2,634",34,"16,126",3.82,47.60,40.70,Influencer_3,"992,843",,,,,,,,13.90,0.90,paid,response,True,,,,77.47,6.12,474.29,
4,SGE,TV,Galaxy Z Fold8,,,"33,613",,,,57.70,50.50,,,432,,,,,,,14.20,0.73,paid,brand,False,,,,,,,77.81
4,SGE,Search,Galaxy Z Fold8,"395,309","8,042","17,213","1,040","490,835",2.03,51.20,54.20,,,,,,,,,,6.80,0.83,paid,response,True,43.54,2.14,0.02,16.55,28.52,471.96,
4,SGE,Website,Galaxy Z Fold8,,,,892,"326,898",,57,35.10,,,,,,"96,544",30.80,195,3.24,7.20,0.80,earned,owned,True,,,,,,366.48,
4,SGE,PR,Galaxy Z Fold8,,,0,,,,65,56.80,,,,24,33,,,,,6.70,0.84,earned,brand,False,,,,,,,
4,SGE,B2B Roadshow,Galaxy Z Fold8,"22,078",,"3,979",74,"42,769",6.66,55.40,55.20,,,,,,,,,,9.10,0.84,paid,brand,True,180.22,,,53.77,10.75,577.96,
4,SGE,Paid Social,Galaxy Z Flip8,"639,731","9,051","14,177",620,"101,197",1.05,60.10,58.50,,,,,,,,,,6.60,0.77,paid,response,True,22.16,1.57,0.01,22.87,7.14,163.22,
4,SGE,Influencer,Galaxy Z Flip8,,,"8,002",13,"5,582",4.30,53.20,29,Influencer_3,"280,558",,,,,,,,10,0.81,paid,response,True,,,,615.54,0.70,429.38,
4,SGE,TV,Galaxy Z Flip8,,,"42,892",,,,70.10,58.20,,,464,,,,,,,8.80,0.84,paid,brand,False,,,,,,,92.44
4,SGE,Search,Galaxy Z Flip8,"323,737","3,926","23,268",424,"205,064",1.21,55.90,57.40,,,,,,,,,,6.90,0.81,paid,response,True,71.87,5.93,0.01,54.88,8.81,483.64,
4,SGE,Website,Galaxy Z Flip8,,,,"1,021","252,293",,62.70,31.90,,,,,,"100,031",42.90,179,3.13,7.30,0.75,earned,owned,True,,,,,,247.10,
4,SGE,PR,Galaxy Z Flip8,,,0,,,,65.10,65.20,,,,55,32.30,,,,,10.80,0.90,earned,brand,False,,,,,,,
4,SGE,B2B Roadshow,Galaxy Z Flip8,"18,291",,"4,410",112,"31,020",3.14,71.30,54.40,,,,,,,,,,11,0.84,paid,brand,True,241.10,,,39.38,7.03,276.96,
4,SGE,Paid Social,Galaxy S24,"355,804","3,612","10,853",182,"30,876",1.28,64.50,32.10,,,,,,,,,,15.30,0.89,paid,response,True,30.50,3.00,0.01,59.63,2.84,169.65,
4,SGE,Influencer,Galaxy S24,,,"5,460",13,"4,913",2.88,49.30,51.30,Influencer_1,"405,888",,,,,,,,7.20,0.81,paid,response,True,,,,420,0.90,377.92,
4,SGE,TV,Galaxy S24,,,"17,636",,,,55.40,44.10,,,451,,,,,,,14.80,0.84,paid,brand,False,,,,,,,39.10
4,SGE,Search,Galaxy S24,"232,800","3,223","12,372",267,"78,409",1.38,64.30,41.30,,,,,,,,,,10.60,0.84,paid,response,True,53.14,3.84,0.01,46.34,6.34,293.67,
4,SGE,Website,Galaxy S24,,,,"1,050","370,901",,54.30,29.30,,,,,,"66,480",35.10,167,2.65,8.20,0.78,earned,owned,True,,,,,,353.24,
4,SGE,PR,Galaxy S24,,,0,,,,74.90,44.90,,,,32,20.20,,,,,9.30,0.95,earned,brand,False,,,,,,,
4,SGE,B2B Roadshow,Galaxy S24,"15,248",,"6,888",49,"31,408",3.93,68.50,52.10,,,,,,,,,,10.80,0.98,paid,brand,True,451.73,,,140.57,4.56,640.98,
4,SGE,Paid Social,Galaxy Tab S10,"830,697","7,891","22,374",572,"194,681",1.02,55,45.40,,,,,,,,,,11.90,0.79,paid,response,True,26.93,2.84,0.01,39.12,8.70,340.35,
4,SGE,Influencer,Galaxy Tab S10,,,"4,222",32,"7,510",5.03,43.70,42,Influencer_2,"784,195",,,,,,,,9.90,0.95,paid,response,True,,,,131.94,1.78,234.69,
4,SGE,TV,Galaxy Tab S10,,,"67,958",,,,66.80,48.30,,,591,,,,,,,17.90,0.76,paid,brand,False,,,,,,,114.99
4,SGE,Search,Galaxy Tab S10,"386,968","8,106","29,423","1,409","507,567",2.09,45.90,51.30,,,,,,,,,,11.40,0.84,paid,response,True,76.03,3.63,0.02,20.88,17.25,360.23,
4,SGE,Website,Galaxy Tab S10,,,,"1,987","439,626",,64.20,47.50,,,,,,"136,281",27.90,252,3.54,14.90,0.78,earned,owned,True,,,,,,221.25,
4,SGE,PR,Galaxy Tab S10,,,0,,,,64.50,59.70,,,,75,52.30,,,,,11.70,0.82,earned,brand,False,,,,,,,
4,SGE,B2B Roadshow,Galaxy Tab S10,"27,503",,"7,088",85,"62,256",5.97,70.10,66,,,,,,,,,,11.60,0.88,paid,brand,True,257.72,,,83.39,8.78,732.42,
4,SGE,Paid Social,Galaxy Buds3,"1,221,199","14,925","36,299","1,776","493,468",0.90,54.60,33.50,,,,,,,,,,11.90,0.76,paid,response,True,29.72,2.43,0.01,20.44,13.59,277.85,
4,SGE,Influencer,Galaxy Buds3,,,"4,933",8,"2,795",2.85,36,29.40,Influencer_1,"231,167",,,,,,,,12.80,0.82,paid,response,True,,,,616.62,0.57,349.38,
4,SGE,TV,Galaxy Buds3,,,"71,645",,,,68.60,60,,,"1,032",,,,,,,15.50,0.82,paid,brand,False,,,,,,,69.42
4,SGE,Search,Galaxy Buds3,"802,194","15,985","23,885","1,748","698,098",1.99,58.20,48,,,,,,,,,,12.70,0.87,paid,response,True,29.77,1.49,0.02,13.66,29.23,399.37,
4,SGE,Website,Galaxy Buds3,,,,"1,318","274,011",,47.70,38.40,,,,,,"75,204",33.60,180,3.08,10.60,0.76,earned,owned,True,,,,,,207.90,
4,SGE,PR,Galaxy Buds3,,,0,,,,75.50,66.90,,,,129,42.80,,,,,4.30,0.87,earned,brand,False,,,,,,,
4,SGE,Paid Social,Galaxy Watch6,"381,695","4,965","16,083",502,"146,691",1.14,57.60,46,,,,,,,,,,11.60,0.84,paid,response,True,42.14,3.24,0.01,32.04,9.12,292.21,
4,SGE,Influencer,Galaxy Watch6,,,"2,964",19,"9,333",2.70,53.70,34.60,Influencer_1,"731,297",,,,,,,,16.60,0.81,paid,response,True,,,,156,3.15,491.21,
4,SGE,TV,Galaxy Watch6,,,"18,310",,,,54.10,61.90,,,403,,,,,,,11.80,0.87,paid,brand,False,,,,,,,45.43
4,SGE,Search,Galaxy Watch6,"180,608","3,549","12,179",418,"158,189",1.97,70.40,44.70,,,,,,,,,,5.90,0.82,paid,response,True,67.43,3.43,0.02,29.14,12.99,378.44,
4,SGE,Website,Galaxy Watch6,,,,672,"233,945",,42.70,33.20,,,,,,"46,432",43.20,166,3.80,11.40,0.76,earned,owned,True,,,,,,348.13,
4,SGE,PR,Galaxy Watch6,,,0,,,,78.50,51.50,,,,42,32,,,,,9.10,0.89,earned,brand,False,,,,,,,
4,SGE,B2B Roadshow,Galaxy Watch6,"11,712",,"6,094",64,"23,907",4.61,57,59.80,,,,,,,,,,9.80,0.85,paid,brand,True,520.32,,,95.22,3.92,373.55,
